Date,Open,High,Low,Close,Adj Close,Volume
2024-03-09,38.125488,39.618526,37.113400,37.320423,37.320423,480625017
2024-03-10,37.320469,37.729553,35.454067,36.160984,36.160984,421535580
2024-03-11,36.160923,39.326519,34.567219,37.990486,37.990486,747592363
2024-03-12,37.990486,38.173794,35.232426,36.868355,36.868355,418477352
2024-03-13,36.868355,37.613396,35.938183,36.565521,36.565521,356708087
2024-03-14,36.565521,36.721233,33.736561,35.100746,35.100746,465605554
2024-03-15,35.100544,35.537636,31.187078,33.240471,33.240471,583927649
2024-03-16,33.240471,33.587494,30.136751,30.682331,30.682331,376535590
2024-03-17,30.682331,32.335083,29.591841,31.946257,31.946257,358881401
2024-03-18,31.946257,32.050030,30.321363,31.391985,31.391985,291098796
2024-03-19,31.392412,31.573195,27.232256,27.717350,27.717350,492883843
2024-03-20,27.717350,30.704191,26.885160,30.616354,30.616354,423204229
2024-03-21,30.616354,30.824385,29.459520,30.320139,30.320139,281549944
2024-03-22,30.320051,30.714483,28.560253,29.269140,29.269140,240278534
2024-03-23,29.269140,31.364916,29.115705,30.264578,30.264578,211699689
2024-03-24,30.264767,31.690149,30.257935,31.573196,31.573196,259658661
2024-03-25,31.573196,32.690563,31.028284,32.495823,32.495823,279141099
2024-03-26,32.495823,33.196220,31.781164,32.137074,32.137074,285312552
2024-03-27,32.137074,32.532631,31.002054,31.803864,31.803864,280910664
2024-03-28,31.803864,32.823792,31.379238,32.537586,32.537586,245938566
2024-03-29,32.537586,34.902210,31.823229,34.236248,34.236248,442445757
2024-03-30,34.236248,34.530224,32.850216,32.931007,32.931007,229532049
2024-03-31,32.931007,34.460571,32.854263,34.311298,34.311298,206375125
2024-04-01,34.311298,34.754021,31.867348,32.734024,32.734024,353927804
2024-04-02,32.734024,32.734444,29.876539,29.970011,29.970011,347092840
2024-04-03,29.970011,30.949665,29.054470,30.636850,30.636850,228219941
2024-04-04,30.636850,33.172478,30.088846,32.890923,32.890923,368170681
2024-04-05,32.885941,34.039795,31.729471,33.156452,33.156452,491697243
2024-04-06,33.156452,33.559574,32.789715,33.507851,33.507851,195826881
2024-04-07,33.507851,34.732864,33.320518,33.893021,33.893021,252726864
2024-04-08,33.893021,35.861427,33.170021,35.705177,35.705177,377368567
2024-04-09,35.705177,35.751488,32.678822,32.780308,32.780308,350413058
2024-04-10,32.780308,33.562263,31.731674,33.496960,33.496960,297131185
2024-04-11,33.496960,34.551609,33.233810,33.764542,33.764542,280484300
2024-04-12,33.764542,34.038689,27.008928,29.534063,29.534063,452734315
2024-04-13,29.534239,29.879574,22.967175,25.526031,25.526031,587374317
2024-04-14,25.526405,27.156050,24.614515,27.044130,27.044130,487092284
2024-04-15,27.044130,28.197784,25.575296,26.453842,26.453842,400317083
2024-04-16,26.453842,26.854774,25.116312,26.158686,26.158686,280315809
2024-04-17,26.158649,26.620203,24.706482,25.410484,25.410484,213581987
2024-04-18,25.410660,26.359465,24.933992,26.134924,26.134924,196760726
2024-04-19,26.134924,26.550514,24.155281,26.086321,26.086321,296809403
2024-04-20,26.086340,28.150869,25.855127,27.894875,27.894875,206761681
2024-04-21,27.894875,28.307571,27.149136,27.450272,27.450272,156320139
2024-04-22,27.450272,28.559883,27.389997,28.356771,28.356771,182324362
2024-04-23,28.356771,28.502342,27.778767,28.154791,28.154791,136558474
2024-04-24,28.154779,28.458603,26.138283,26.364439,26.364439,227694797
2024-04-25,26.365320,26.915674,25.831795,26.457581,26.457581,177920945
2024-04-26,26.457581,27.924959,25.997486,27.105074,27.105074,200792499
2024-04-27,27.105074,28.174219,26.349789,27.813515,27.813515,210355550
2024-04-28,27.813515,29.931793,27.706858,27.968964,27.968964,318917738
2024-04-29,27.968964,28.473686,26.931681,27.584372,27.584372,234656943
2024-04-30,27.584324,28.004238,24.887186,25.442833,25.442833,292000384
2024-05-01,25.442833,25.612230,24.097811,25.536282,25.536282,336291923
2024-05-02,25.536282,25.908146,24.839655,25.679646,25.679646,189463250
2024-05-03,25.679646,27.349281,25.520466,26.923174,26.923174,200281481
2024-05-04,26.923174,27.476961,26.861254,26.957998,26.957998,166307076
2024-05-05,26.957998,27.847610,26.484707,27.681726,27.681726,164557962
2024-05-06,27.681677,28.964594,27.004457,27.004684,27.004684,249983845
2024-05-07,27.004684,27.822744,26.798386,27.110155,27.110155,186522738
2024-05-08,27.110209,29.252205,26.625175,27.157541,27.157541,388061307
2024-05-09,27.157541,27.813841,26.894724,27.668243,27.668243,197018850
2024-05-10,27.668243,27.799395,26.167841,26.396765,26.396765,201724914
2024-05-11,26.396765,26.784740,26.220989,26.457214,26.457214,114437523
2024-05-12,26.457195,26.900816,26.388815,26.713799,26.713799,94506937
2024-05-13,26.713799,26.934200,25.301540,26.275000,26.275000,228965010
2024-05-14,26.275000,26.412771,25.286236,25.327702,25.327702,197644213
2024-05-15,25.328039,27.162704,25.327614,27.100901,27.100901,229858488
2024-05-16,27.101160,27.509401,26.689461,27.253609,27.253609,232683977
2024-05-17,27.253609,28.734671,26.957533,28.310291,28.310291,235679740
2024-05-18,28.310291,29.108644,28.152330,28.622232,28.622232,203576918
2024-05-19,28.621687,28.870970,27.372168,27.600697,27.600697,174019294
2024-05-20,27.600697,32.920368,27.525936,32.311031,32.311031,528257362
2024-05-21,32.311089,32.791943,30.918581,31.736706,31.736706,735159841
2024-05-22,31.736708,31.819769,29.773247,30.390060,30.390060,469072432
2024-05-23,30.390060,34.180099,30.380070,32.386650,32.386650,1458497162
2024-05-24,32.386650,33.841801,31.034199,31.595058,31.595058,605404264
2024-05-25,31.595104,32.294296,31.329420,31.668777,31.668777,295309659
2024-05-26,31.668777,32.675385,31.485905,31.716913,31.716913,330785772
2024-05-27,31.716913,32.669437,31.631744,31.940979,31.940979,334186291
2024-05-28,31.939400,31.941544,30.645605,31.390787,31.390787,318830374
2024-05-29,31.390787,31.597647,30.170177,30.423717,30.423717,258234413
2024-05-30,30.423813,30.695576,29.225277,29.808336,29.808336,247193481
2024-05-31,29.808336,30.424879,29.138960,29.617893,29.617893,215407237
2024-06-01,29.617872,29.777912,29.429314,29.532154,29.532154,122920723
2024-06-02,29.532167,29.773493,28.601870,28.934589,28.934589,162376008
2024-06-03,28.934547,29.422565,28.572044,28.628445,28.628445,199897147
2024-06-04,28.628445,29.955601,28.199825,29.737282,29.737282,226692924
2024-06-05,29.736704,30.007826,29.263268,29.685081,29.685081,190255456
